category,orders,merchandise_gmv_brl,freight_value_brl,average_review,late_delivery_rate,low_review_rate,freight_burden,gmv_share
health_beauty,8647,1233131.72,178957.81,4.229275665620277,0.07505493234647855,0.11391233953972477,0.12673262296619392,0.09327598341977665
watches_gifts,5493,1165898.98,98118.0,4.120873074101247,0.07391225195703623,0.13599126160567995,0.07762395723513145,0.08819039536799403
bed_bath_table,9272,1023434.76,201774.5,3.998910319276452,0.0743097497842968,0.15864969801553064,0.16468574519262122,0.07741418224565913
sports_leisure,7529,954673.55,163389.36,4.227388109552439,0.06574578297250631,0.11316243857085935,0.14613610606222505,0.07221297836787405
computers_accessories,6529,888613.62,143990.03,4.0815635580178515,0.06386889263286874,0.14473885740542197,0.1394436577867994,0.06721610347166133
furniture_decor,6307,711927.6900000001,168402.23,4.057507987220447,0.07119074044712224,0.1523703821151102,0.19129445242529075,0.053851307473073436
housewares,5743,615628.6900000001,142763.56,4.1930285514100545,0.053630506703813335,0.1175343896917987,0.18824501437086152,0.04656710272701348
cool_stuff,3559,610204.1,81476.79,4.21750212404418,0.05900533857825232,0.11182916549592582,0.11779534634822714,0.04615677838072297
auto,3809,578849.35,90470.57,4.1450804537061465,0.07298503544237332,0.12943029666579153,0.13516790296634235,0.04378505677653681
toys,3803,471097.49,75758.95,4.23747680890538,0.063896923481462,0.11306863002892453,0.13853535308096582,0.03563454005249204
garden_tools,3448,470495.27999999997,96650.4,4.180280046674445,0.06525522041763342,0.12180974477958237,0.1704154742040881,0.035588987960153334
baby,2809,400421.84,66305.81,4.103336921420882,0.08045567817728728,0.141687433250267,0.1420653136791874,0.030288524983167624
perfumery,3086,390144.65,53026.98,4.261378413524057,0.06545690213869086,0.11730395333765392,0.11965337221608703,0.029511142495559653
telephony,4093,309860.23,69342.39,4.051855492750062,0.07109699486928903,0.14048375274859518,0.1828636890747221,0.02343830525738822
office_furniture,1254,268154.31,67057.05,3.644694533762058,0.08054226475279107,0.21770334928229665,0.20004408561810078,0.02028360520439913
stationery,2264,223788.69,45786.36,4.295424255886273,0.06537102473498234,0.09982332155477032,0.16984643052092543,0.016927721345107834
computers,177,218684.14,9665.62,4.224137931034483,0.05649717514124294,0.11299435028248588,0.04232813732758029,0.016541605317563414
pet_shop,1688,211695.64,38918.56,4.273809523809524,0.0509478672985782,0.10604265402843602,0.15529271685323495,0.01601298440906135
musical_instruments,611,184315.74,17871.38,4.234710743801653,0.07528641571194762,0.11620294599018004,0.08839029904575525,0.013941926583677423
small_appliances,609,182754.12,15354.35,4.254966887417218,0.047619047619047616,0.11494252873563218,0.07750476292104018,0.013823803240594502
unknown,1412,175967.21,27386.63,4.004279600570613,0.07223796033994334,0.17422096317280453,0.1346747619813818,0.013310430910320234
electronics,2517,155043.93,45679.159999999996,4.124499599679744,0.07628128724672228,0.13110846245530394,0.22757302112078884,0.01172776177067038
fashion_bags_accessories,1820,149329.39,30558.9,4.2424075096631695,0.056043956043956046,0.1010989010989011,0.1698770942788994,0.01129550515959914
consoles_games,1018,148003.37,19094.36,4.178394449950446,0.060903732809430254,0.1100196463654224,0.11427061277253737,0.011195202963549642
construction_tools_construction,736,142108.49,20273.52,4.125854993160055,0.07336956521739131,0.13179347826086957,0.12485077626517865,0.010749305156994498
luggage_accessories,1019,138701.63,30076.49,4.370443349753694,0.04317958783120707,0.08145240431795878,0.17820135690574113,0.01049160501700175
home_appliances_2,227,107953.95,10254.57,4.150442477876106,0.06167400881057269,0.12334801762114538,0.086749838336526,0.008165803123043009
home_construction,483,81407.57,13614.8,3.9854469854469854,0.060041407867494824,0.17184265010351968,0.14327994555387324,0.006157794034820796
home_appliances,747,78832.48,14469.3,4.212365591397849,0.04417670682730924,0.10977242302543508,0.15508064262010862,0.005963010259293204
agro_industry_and_commerce,177,70566.1,5637.2,4.107344632768362,0.03954802259887006,0.12429378531073447,0.0739757989483395,0.005337728538520039
furniture_living_room,414,67350.7,17694.37,4.070904645476773,0.0748792270531401,0.14009661835748793,0.20805873873700145,0.005094510727945877
home_confort,392,58008.450000000004,8429.77,3.8846153846153846,0.09438775510204081,0.18622448979591838,0.12688133426813664,0.004387848542576574
fixed_telephony,212,55315.21,4501.33,3.9665071770334928,0.04716981132075472,0.1650943396226415,0.07525226300284169,0.004184127718992958
air_conditioning,246,53323.56,6530.99,4.115702479338843,0.04065040650406504,0.13821138211382114,0.10911434469058744,0.004033476244081585
audio,348,50570.6,5684.72,3.8405797101449277,0.11781609195402298,0.21551724137931033,0.1010521316028422,0.003825238107676086
small_appliances_home_oven_and_coffee,72,46589.56,2656.34,4.430555555555555,0.05555555555555555,0.06944444444444445,0.05394032802730787,0.003524106107735749
kitchen_dining_laundry_garden_furniture,241,45531.98,11540.99,4.125523012552302,0.04564315352697095,0.11203319502074689,0.20221463855832278,0.003444109126922469
books_general_interest,495,45256.25,8871.32,4.5336048879837065,0.06464646464646465,0.06262626262626263,0.16389651336647848,0.003423252484853173
construction_tools_lights,242,39957.0,7490.14,4.150627615062762,0.06611570247933884,0.10330578512396695,0.1578628343036061,0.003022409049297682
construction_tools_safety,159,38773.22,3730.8,3.9746835443037973,0.025157232704402517,0.16981132075471697,0.08777522690794894,0.002932866106024223
industry_commerce_and_business,231,38169.81,7555.29,4.218340611353712,0.06926406926406926,0.1038961038961039,0.1652328808466247,0.002887223243836453
food,441,28731.15,7063.53,4.327231121281464,0.07029478458049887,0.09977324263038549,0.19733463185031966,0.002173268457510051
market_place,274,27795.77,5318.61,4.088235294117647,0.040145985401459854,0.12043795620437957,0.16061330455228212,0.002102514872993394
costruction_tools_garden,190,25096.28,5187.66,4.247368421052632,0.05263157894736842,0.12105263157894737,0.17130069601247394,0.0018983212897792235
art,195,23657.3,3828.23,4.098445595854923,0.06153846153846154,0.13846153846153847,0.13928165110878343,0.0017894746252709176
fashion_shoes,235,23001.46,4813.37,4.264069264069264,0.04680851063829787,0.11063829787234042,0.17305049141051734,0.001739865877094343
drinks,287,21529.84,5441.2699999999995,4.2369337979094075,0.05226480836236934,0.10104529616724739,0.2017443850104797,0.0016285502726914236
signaling_and_security,138,21315.05,6477.54,4.116788321167883,0.043478260869565216,0.11594202898550725,0.23306715926799193,0.0016123032261238972
furniture_bedroom,90,19051.8,4327.42,4.2555555555555555,0.06666666666666667,0.12222222222222222,0.18509685096423234,0.0014411075087070997
books_technical,256,18702.23,4198.84,4.427450980392157,0.08203125,0.09375,0.18334689165178747,0.0014146654952585677
costruction_tools_tools,97,15903.95,2030.22,4.425531914893617,0.061855670103092786,0.08247422680412371,0.11320401222916922,0.0012029992842199834
food_drink,221,14942.88,4394.89,4.4434389140271495,0.03619909502262444,0.04072398190045249,0.2272697420643642,0.0011303024685178904
fashion_male_clothing,106,10452.33,2062.62,3.8190476190476192,0.04716981132075472,0.22641509433962265,0.16481248426881448,0.0007906303470792513
fashion_underwear_beach,117,9305.95,1854.07,4.008620689655173,0.09401709401709402,0.1623931623931624,0.16613500692651087,0.0007039163974350369
christmas_supplies,125,8737.84,3190.91,4.1138211382113825,0.08,0.112,0.26749743267316356,0.0006609436816406452
tablets_printing_image,79,7528.41,1226.2,4.1558441558441555,0.05063291139240506,0.12658227848101267,0.14006334948101629,0.0005694605328433858
cine_photo,63,6674.47,1227.71,4.333333333333333,0.06349206349206349,0.1111111111111111,0.15536345666638826,0.0005048671954167206
music,38,6034.35,690.51,4.2105263157894735,0.05263157894736842,0.10526315789473684,0.10268020449496346,0.0004564475322629194
dvds_blu_ray,56,4542.59,1227.25,4.196428571428571,0.07142857142857142,0.14285714285714285,0.21270087212123734,0.0003436085072264975
party_supplies,38,4465.1900000000005,820.19,4.078947368421052,0.0,0.15789473684210525,0.15518089522418443,0.0003377538519616968
books_imported,50,4418.86,732.08,4.44,0.04,0.1,0.142125514954552,0.0003342493793723141
furniture_mattress_and_upholstery,37,4323.38,1581.37,3.891891891891892,0.13513513513513514,0.1891891891891892,0.2678132012362928,0.0003270271250482422
fashio_female_clothing,36,2634.94,583.5,3.9166666666666665,0.05555555555555555,0.16666666666666666,0.18129901442935087,0.0001993109217497919
fashion_sport,26,2094.52,563.03,4.384615384615385,0.038461538461538464,0.07692307692307693,0.21186054824932737,0.00015843272022261385
la_cuisine,13,2054.99,333.55,4.25,0.0,0.15384615384615385,0.13964597620303618,0.0001554426101112757
arts_and_craftmanship,23,1814.01,370.13,4.173913043478261,0.043478260869565216,0.13043478260869565,0.16946258023753058,0.00013721451158786919
diapers_and_hygiene,25,1500.79,545.4,3.96,0.0,0.12,0.26654416256554864,0.00011352206815064866
flowers,29,1110.04,488.87,4.392857142857143,0.034482758620689655,0.06896551724137931,0.3057520435796887,8.396513604831191e-05
home_comfort_2,24,760.27,410.31,3.8260869565217392,0.125,0.20833333333333334,0.3505185463616327,5.7507994291602194e-05
cds_dvds_musicals,12,730.0,224.98999999999998,4.666666666666667,0.0,0.0,0.23559408999047107,5.5218324848895266e-05
fashion_childrens_clothes,7,519.95,78.72,5.0,0.0,0.0,0.13149147276462825,3.932981918518232e-05
security_and_services,2,283.28999999999996,41.22,2.5,0.0,0.5,0.1270222797448461,2.1428492118415804e-05
