customer_state,orders,merchandise_gmv_brl,freight_value_brl,average_review,late_delivery_rate,average_delivery_days,freight_burden,gmv_share
SP,40494,5066562.98,701955.25,4.2457904932200865,0.044944930113103174,8.761385996084925,0.12168727253896534,0.383242630817845
RJ,12350,1759651.1300000001,295750.44,3.965440995823438,0.12105263157894737,15.30943754217274,0.14388937145747144,0.1331027229000899
MG,11354,1552481.83,266409.84,4.192290651307045,0.04571076272679232,12.008665646060452,0.14646822809408985,0.1174321178232156
RS,5344,728718.47,132560.32,4.184754036800601,0.06081586826347305,15.300276192406853,0.15391104661941113,0.055121387944999906
PR,4923,666063.51,115645.29,4.239795918367347,0.04042250660166565,11.991582227413277,0.1479390918971361,0.050382070226267665
SC,3546,507012.13,88115.65,4.133560670645069,0.08206429780033841,14.954782876767771,0.14806173222160793,0.03835117876256207
BA,3256,493584.14,97553.67,3.930628677609167,0.12162162162162163,19.335465824489262,0.1650269503146821,0.03733546490792136
DF,2080,296498.41,49624.94,4.131400966183575,0.05673076923076923,12.96756810897436,0.14337356898920575,0.022427596603508126
GO,1957,282836.7,51375.65,4.105858170606372,0.06540623403168115,15.606338535456764,0.15372157851138654,0.02139420380793087
ES,1995,268643.45,49014.48,4.078720162519045,0.10726817042606517,15.789307110368513,0.15429956368474732,0.020320604507709523
PE,1593,251889.49,57082.56,4.082963901203294,0.096045197740113,18.448322994408407,0.1847499150813156,0.019053309157318565
CE,1279,219757.38,46679.39,3.9442262372348784,0.1376075058639562,21.26657863492891,0.1751987535354073,0.01662278684490701
PA,946,174470.59,37552.98,3.9142550911039655,0.11205073995771671,23.77291691136168,0.17711700637811165,0.013197224267395091
MT,886,152191.62,29032.8,4.145620022753128,0.05981941309255079,18.05575601172561,0.16020357521353912,0.011512008647177567
MA,717,117009.38,30794.17,3.832865168539326,0.17433751743375175,21.572976474120562,0.20834526640259995,0.008850769801654558
MS,701,115429.97,18937.579999999998,4.161659513590844,0.09700427960057062,15.618319018465684,0.14093864180748997,0.008731300795559225
PB,517,112586.82,25251.73,4.076171875,0.10444874274661509,20.426767609606706,0.1831978789678214,0.008516240548580956
PI,476,84721.0,20457.19,3.9936305732484074,0.13865546218487396,19.45709826291628,0.19450030467343085,0.006408426985648295
RN,474,82105.66,18609.12,4.150743099787686,0.09282700421940929,19.27815620604782,0.18477049743840973,0.006210598638099926
AL,397,78855.72,15316.77,3.8477157360406093,0.2141057934508816,24.543855361974067,0.16264590646376664,0.005964768168703461
SE,335,56574.19,13714.94,3.907185628742515,0.15223880597014924,21.519788280818133,0.1951217777201112,0.004279358906141262
TO,274,48402.51,11604.86,4.153846153846154,0.09854014598540146,17.65806260982698,0.19339057852393798,0.0036612404392902757
RO,243,45682.76,11283.24,4.1652892561983474,0.02880658436213992,19.37203651310776,0.19806972580135518,0.0034555143584576965
AM,145,22155.84,5429.63,4.243055555555555,0.027586206896551724,26.42599090038314,0.19682934530388643,0.0016759018772878732
AC,80,15930.97,3644.36,4.0875,0.0375,21.035712962962965,0.18617106327198574,0.001205043118654801
AP,67,13374.81,2767.0,4.242424242424242,0.029850746268656716,27.185067716970703,0.17141819907432934,0.0010116912374962365
RR,41,7057.47,1982.05,3.902439024390244,0.12195121951219512,29.387546014001806,0.21926496097137899,0.0005338379055771683
